Date,Year,Month,Day,P,E,Qcmecs,Qmm,Q_Missing,Julian,Season,Season_Year,Water_Year
25/01/1961,1961,1,25,0.5078,0.23314,NA,NA,Yes,25,W,1961,1961
26/01/1961,1961,1,26,9.0058,0.34704,NA,NA,Yes,26,W,1961,1961
27/01/1961,1961,1,27,3.3218,0.37383,NA,NA,Yes,27,W,1961,1961
28/01/1961,1961,1,28,5.3941,0.38928,NA,NA,Yes,28,W,1961,1961
29/01/1961,1961,1,29,3.9703,0.41635,NA,NA,Yes,29,W,1961,1961
30/01/1961,1961,1,30,3.2156,0.34517,NA,NA,Yes,30,W,1961,1961
31/01/1961,1961,1,31,9.4199,0.28235,NA,NA,Yes,31,W,1961,1961
01/02/1961,1961,2,1,5.0989,0.29798,NA,NA,Yes,32,W,1961,1961
02/02/1961,1961,2,2,0.77701,0.33094,NA,NA,Yes,33,W,1961,1961
03/02/1961,1961,2,3,6.9745,0.307,NA,NA,Yes,34,W,1961,1961
04/02/1961,1961,2,4,8.9758,0.3896,NA,NA,Yes,35,W,1961,1961
05/02/1961,1961,2,5,9.9493,0.49935,NA,NA,Yes,36,W,1961,1961
06/02/1961,1961,2,6,3.7775,0.38006,NA,NA,Yes,37,W,1961,1961
07/02/1961,1961,2,7,2.9134,0.47442,NA,NA,Yes,38,W,1961,1961
08/02/1961,1961,2,8,8.7538,0.56882,NA,NA,Yes,39,W,1961,1961
09/02/1961,1961,2,9,1.7461,0.57469,NA,NA,Yes,40,W,1961,1961
10/02/1961,1961,2,10,0.95929,0.57514,NA,NA,Yes,41,W,1961,1961
11/02/1961,1961,2,11,4.0893,0.57453,NA,NA,Yes,42,W,1961,1961
12/02/1961,1961,2,12,0.048836,0.68502,NA,NA,Yes,43,W,1961,1961
13/02/1961,1961,2,13,0.23401,0.67175,NA,NA,Yes,44,W,1961,1961
14/02/1961,1961,2,14,0.027236,0.72181,NA,NA,Yes,45,W,1961,1961
15/02/1961,1961,2,15,0.0075133,0.64696,NA,NA,Yes,46,W,1961,1961
16/02/1961,1961,2,16,3.68E-04,0.6145,NA,NA,Yes,47,W,1961,1961
17/02/1961,1961,2,17,0.41837,0.68272,NA,NA,Yes,48,W,1961,1961
18/02/1961,1961,2,18,0.0085341,0.75172,NA,NA,Yes,49,W,1961,1961
19/02/1961,1961,2,19,0.0027766,0.7356,NA,NA,Yes,50,W,1961,1961
20/02/1961,1961,2,20,0.0010617,0.75384,NA,NA,Yes,51,W,1961,1961
21/02/1961,1961,2,21,0,0.60557,NA,NA,Yes,52,W,1961,1961
22/02/1961,1961,2,22,0.0040016,0.60567,NA,NA,Yes,53,W,1961,1961
23/02/1961,1961,2,23,12.2,0.67023,NA,NA,Yes,54,W,1961,1961
24/02/1961,1961,2,24,0.58154,0.75213,NA,NA,Yes,55,W,1961,1961
25/02/1961,1961,2,25,4.6084,0.6424,NA,NA,Yes,56,W,1961,1961
26/02/1961,1961,2,26,1.1949,0.76378,NA,NA,Yes,57,W,1961,1961
27/02/1961,1961,2,27,2.1585,0.63869,NA,NA,Yes,58,W,1961,1961
28/02/1961,1961,2,28,1.2941,0.70059,NA,NA,Yes,59,W,1961,1961
01/03/1961,1961,3,1,3.026,0.87756,NA,NA,Yes,60,SP,1961,1961
02/03/1961,1961,3,2,0.014577,0.8737,NA,NA,Yes,61,SP,1961,1961
03/03/1961,1961,3,3,0.0011433,0.81001,NA,NA,Yes,62,SP,1961,1961
04/03/1961,1961,3,4,0,0.9103,NA,NA,Yes,63,SP,1961,1961
05/03/1961,1961,3,5,0.0048183,0.98202,NA,NA,Yes,64,SP,1961,1961
06/03/1961,1961,3,6,0,1.0181,NA,NA,Yes,65,SP,1961,1961
07/03/1961,1961,3,7,0,1.093,NA,NA,Yes,66,SP,1961,1961
08/03/1961,1961,3,8,0,1.1185,NA,NA,Yes,67,SP,1961,1961
09/03/1961,1961,3,9,0.041486,1.0293,NA,NA,Yes,68,SP,1961,1961
10/03/1961,1961,3,10,0.026664,1.0084,NA,NA,Yes,69,SP,1961,1961
11/03/1961,1961,3,11,0.068559,1.1019,NA,NA,Yes,70,SP,1961,1961
12/03/1961,1961,3,12,0.30225,1.1561,NA,NA,Yes,71,SP,1961,1961
13/03/1961,1961,3,13,0.0021641,1.2711,NA,NA,Yes,72,SP,1961,1961
14/03/1961,1961,3,14,0.0064516,1.3725,NA,NA,Yes,73,SP,1961,1961
15/03/1961,1961,3,15,0.012332,1.2518,NA,NA,Yes,74,SP,1961,1961
16/03/1961,1961,3,16,0.036423,1.3453,NA,NA,Yes,75,SP,1961,1961
17/03/1961,1961,3,17,0.75374,0.97218,NA,NA,Yes,76,SP,1961,1961
18/03/1961,1961,3,18,0.69539,0.89327,NA,NA,Yes,77,SP,1961,1961
19/03/1961,1961,3,19,0.0343,0.81605,NA,NA,Yes,78,SP,1961,1961
20/03/1961,1961,3,20,0.0015517,0.97939,NA,NA,Yes,79,SP,1961,1961
21/03/1961,1961,3,21,0.10527,0.94446,NA,NA,Yes,80,SP,1961,1961
22/03/1961,1961,3,22,0,1.0901,NA,NA,Yes,81,SP,1961,1961
23/03/1961,1961,3,23,0.0013067,1.1056,NA,NA,Yes,82,SP,1961,1961
24/03/1961,1961,3,24,0.0024908,1.3423,NA,NA,Yes,83,SP,1961,1961
25/03/1961,1961,3,25,0.40376,1.1693,NA,NA,Yes,84,SP,1961,1961
26/03/1961,1961,3,26,0.37178,1.3294,NA,NA,Yes,85,SP,1961,1961
27/03/1961,1961,3,27,0.03234,0.90269,NA,NA,Yes,86,SP,1961,1961
28/03/1961,1961,3,28,1.7091,1.112,NA,NA,Yes,87,SP,1961,1961
29/03/1961,1961,3,29,3.0394,1.3899,NA,NA,Yes,88,SP,1961,1961
30/03/1961,1961,3,30,2.3534,1.5895,NA,NA,Yes,89,SP,1961,1961
31/03/1961,1961,3,31,1.1365,1.4689,NA,NA,Yes,90,SP,1961,1961
01/04/1961,1961,4,1,1.8631,1.5791,NA,NA,Yes,91,SP,1961,1961
02/04/1961,1961,4,2,0.08873,1.3203,NA,NA,Yes,92,SP,1961,1961
03/04/1961,1961,4,3,1.6228,1.0478,NA,NA,Yes,93,SP,1961,1961
04/04/1961,1961,4,4,10.402,1.1651,NA,NA,Yes,94,SP,1961,1961
05/04/1961,1961,4,5,6.2322,1.3898,NA,NA,Yes,95,SP,1961,1961
06/04/1961,1961,4,6,0.079829,1.4215,NA,NA,Yes,96,SP,1961,1961
07/04/1961,1961,4,7,0.026501,1.1809,NA,NA,Yes,97,SP,1961,1961
08/04/1961,1961,4,8,2.2568,1.3497,NA,NA,Yes,98,SP,1961,1961
09/04/1961,1961,4,9,2.1421,1.6886,NA,NA,Yes,99,SP,1961,1961
10/04/1961,1961,4,10,1.457,1.9237,NA,NA,Yes,100,SP,1961,1961
11/04/1961,1961,4,11,3.2083,1.6393,NA,NA,Yes,101,SP,1961,1961
12/04/1961,1961,4,12,18.121,1.9298,NA,NA,Yes,102,SP,1961,1961
13/04/1961,1961,4,13,2.4783,1.8675,NA,NA,Yes,103,SP,1961,1961
14/04/1961,1961,4,14,1.4194,1.7047,NA,NA,Yes,104,SP,1961,1961
15/04/1961,1961,4,15,0.050347,1.6311,NA,NA,Yes,105,SP,1961,1961
16/04/1961,1961,4,16,0.0091058,1.6823,NA,NA,Yes,106,SP,1961,1961
17/04/1961,1961,4,17,0.0063291,1.8487,NA,NA,Yes,107,SP,1961,1961
18/04/1961,1961,4,18,2.694,1.9224,NA,NA,Yes,108,SP,1961,1961
19/04/1961,1961,4,19,2.9162,2.0351,NA,NA,Yes,109,SP,1961,1961
20/04/1961,1961,4,20,10.243,1.6937,NA,NA,Yes,110,SP,1961,1961
21/04/1961,1961,4,21,4.3285,2.0622,NA,NA,Yes,111,SP,1961,1961
22/04/1961,1961,4,22,12.181,2.0344,NA,NA,Yes,112,SP,1961,1961
23/04/1961,1961,4,23,1.7467,1.8955,NA,NA,Yes,113,SP,1961,1961
24/04/1961,1961,4,24,6.8127,1.7462,NA,NA,Yes,114,SP,1961,1961
25/04/1961,1961,4,25,10.849,1.7235,NA,NA,Yes,115,SP,1961,1961
26/04/1961,1961,4,26,0.71229,2.0691,NA,NA,Yes,116,SP,1961,1961
27/04/1961,1961,4,27,0.047203,2.1796,NA,NA,Yes,117,SP,1961,1961
28/04/1961,1961,4,28,0.042793,2.1188,NA,NA,Yes,118,SP,1961,1961
29/04/1961,1961,4,29,3.3541,2.2645,NA,NA,Yes,119,SP,1961,1961
30/04/1961,1961,4,30,2.8196,2.3223,NA,NA,Yes,120,SP,1961,1961
01/05/1961,1961,5,1,6.8578,2.4696,NA,NA,Yes,121,SP,1961,1961
02/05/1961,1961,5,2,2.8266,2.0848,NA,NA,Yes,122,SP,1961,1961
03/05/1961,1961,5,3,2.8039,2.242,NA,NA,Yes,123,SP,1961,1961
04/05/1961,1961,5,4,2.0194,2.4245,NA,NA,Yes,124,SP,1961,1961
05/05/1961,1961,5,5,5.0966,2.1495,NA,NA,Yes,125,SP,1961,1961
06/05/1961,1961,5,6,2.8733,2.2715,NA,NA,Yes,126,SP,1961,1961
07/05/1961,1961,5,7,2.8192,2.0491,NA,NA,Yes,127,SP,1961,1961
08/05/1961,1961,5,8,0.20461,2.2386,NA,NA,Yes,128,SP,1961,1961
09/05/1961,1961,5,9,0.012087,2.2686,NA,NA,Yes,129,SP,1961,1961
10/05/1961,1961,5,10,0,2.2249,NA,NA,Yes,130,SP,1961,1961
11/05/1961,1961,5,11,0.0011842,2.7224,NA,NA,Yes,131,SP,1961,1961
12/05/1961,1961,5,12,0.0024091,2.7449,NA,NA,Yes,132,SP,1961,1961
13/05/1961,1961,5,13,1.147,2.9431,NA,NA,Yes,133,SP,1961,1961
14/05/1961,1961,5,14,0.31029,2.7116,NA,NA,Yes,134,SP,1961,1961
15/05/1961,1961,5,15,0,2.6638,NA,NA,Yes,135,SP,1961,1961
16/05/1961,1961,5,16,0,2.1657,NA,NA,Yes,136,SP,1961,1961
17/05/1961,1961,5,17,0,2.0961,NA,NA,Yes,137,SP,1961,1961
18/05/1961,1961,5,18,0,2.1817,NA,NA,Yes,138,SP,1961,1961
19/05/1961,1961,5,19,0,2.377,NA,NA,Yes,139,SP,1961,1961
20/05/1961,1961,5,20,0,2.5904,NA,NA,Yes,140,SP,1961,1961
21/05/1961,1961,5,21,0,2.3844,NA,NA,Yes,141,SP,1961,1961
22/05/1961,1961,5,22,0.025847,2.403,NA,NA,Yes,142,SP,1961,1961
23/05/1961,1961,5,23,0,2.4877,NA,NA,Yes,143,SP,1961,1961
24/05/1961,1961,5,24,0.0094733,2.7091,NA,NA,Yes,144,SP,1961,1961
25/05/1961,1961,5,25,0.13916,2.4213,NA,NA,Yes,145,SP,1961,1961
26/05/1961,1961,5,26,0.10702,1.9661,NA,NA,Yes,146,SP,1961,1961
27/05/1961,1961,5,27,0.02891,1.9708,NA,NA,Yes,147,SP,1961,1961
28/05/1961,1961,5,28,2.2225,1.9822,NA,NA,Yes,148,SP,1961,1961
29/05/1961,1961,5,29,3.0675,2.3025,NA,NA,Yes,149,SP,1961,1961
30/05/1961,1961,5,30,7.8401,2.6795,NA,NA,Yes,150,SP,1961,1961
31/05/1961,1961,5,31,0.28236,2.7309,NA,NA,Yes,151,SP,1961,1961
01/06/1961,1961,6,1,0.016456,2.3404,NA,NA,Yes,152,SU,1961,1961
02/06/1961,1961,6,2,0.13205,2.9618,NA,NA,Yes,153,SU,1961,1961
03/06/1961,1961,6,3,0.24929,3.186,NA,NA,Yes,154,SU,1961,1961
04/06/1961,1961,6,4,0.38751,3.197,NA,NA,Yes,155,SU,1961,1961
05/06/1961,1961,6,5,11.373,2.9287,NA,NA,Yes,156,SU,1961,1961
06/06/1961,1961,6,6,0.88142,3.0503,NA,NA,Yes,157,SU,1961,1961
07/06/1961,1961,6,7,2.1709,2.9892,NA,NA,Yes,158,SU,1961,1961
08/06/1961,1961,6,8,1.1949,2.5734,NA,NA,Yes,159,SU,1961,1961
09/06/1961,1961,6,9,3.0274,2.6067,NA,NA,Yes,160,SU,1961,1961
10/06/1961,1961,6,10,2.8523,2.7643,NA,NA,Yes,161,SU,1961,1961
11/06/1961,1961,6,11,5.1587,2.9488,NA,NA,Yes,162,SU,1961,1961
12/06/1961,1961,6,12,6.299,2.8681,NA,NA,Yes,163,SU,1961,1961
13/06/1961,1961,6,13,0.042099,2.8,NA,NA,Yes,164,SU,1961,1961
14/06/1961,1961,6,14,2.7216,3.1058,NA,NA,Yes,165,SU,1961,1961
15/06/1961,1961,6,15,0.14328,3.2561,NA,NA,Yes,166,SU,1961,1961
16/06/1961,1961,6,16,0.94275,3.1431,NA,NA,Yes,167,SU,1961,1961
17/06/1961,1961,6,17,2.7155,3.3652,NA,NA,Yes,168,SU,1961,1961
18/06/1961,1961,6,18,0.17305,2.9511,NA,NA,Yes,169,SU,1961,1961
19/06/1961,1961,6,19,0.076725,2.8413,NA,NA,Yes,170,SU,1961,1961
20/06/1961,1961,6,20,0.68804,2.8896,NA,NA,Yes,171,SU,1961,1961
21/06/1961,1961,6,21,3.4897,2.9082,NA,NA,Yes,172,SU,1961,1961
22/06/1961,1961,6,22,0.091997,3.1995,NA,NA,Yes,173,SU,1961,1961
23/06/1961,1961,6,23,0.0027358,3.4509,NA,NA,Yes,174,SU,1961,1961
24/06/1961,1961,6,24,0.001715,3.4598,NA,NA,Yes,175,SU,1961,1961
25/06/1961,1961,6,25,5.1399,3.3287,NA,NA,Yes,176,SU,1961,1961
26/06/1961,1961,6,26,0.027848,3.0402,NA,NA,Yes,177,SU,1961,1961
27/06/1961,1961,6,27,0,2.6019,NA,NA,Yes,178,SU,1961,1961
28/06/1961,1961,6,28,0,2.9671,NA,NA,Yes,179,SU,1961,1961
29/06/1961,1961,6,29,0.0010208,3.3761,NA,NA,Yes,180,SU,1961,1961
30/06/1961,1961,6,30,0.091425,3.5053,NA,NA,Yes,181,SU,1961,1961
01/07/1961,1961,7,1,0.022131,3.5999,NA,NA,Yes,182,SU,1961,1961
02/07/1961,1961,7,2,0.038832,3.3468,NA,NA,Yes,183,SU,1961,1961
03/07/1961,1961,7,3,0.88158,3.1143,NA,NA,Yes,184,SU,1961,1961
04/07/1961,1961,7,4,0.032462,3.1339,NA,NA,Yes,185,SU,1961,1961
05/07/1961,1961,7,5,0.0049,2.8842,NA,NA,Yes,186,SU,1961,1961
06/07/1961,1961,7,6,0.349,2.9443,NA,NA,Yes,187,SU,1961,1961
07/07/1961,1961,7,7,0.3561,3.5373,NA,NA,Yes,188,SU,1961,1961
08/07/1961,1961,7,8,0.11723,3.4331,NA,NA,Yes,189,SU,1961,1961
09/07/1961,1961,7,9,3.4785,3.1794,NA,NA,Yes,190,SU,1961,1961
10/07/1961,1961,7,10,8.0187,3.1771,NA,NA,Yes,191,SU,1961,1961
11/07/1961,1961,7,11,17.974,3.1742,NA,NA,Yes,192,SU,1961,1961
12/07/1961,1961,7,12,10.448,3.318,NA,NA,Yes,193,SU,1961,1961
13/07/1961,1961,7,13,21.611,2.7396,NA,NA,Yes,194,SU,1961,1961
14/07/1961,1961,7,14,0.21882,2.7083,NA,NA,Yes,195,SU,1961,1961
15/07/1961,1961,7,15,0.77864,2.7783,NA,NA,Yes,196,SU,1961,1961
16/07/1961,1961,7,16,0.077256,2.9295,NA,NA,Yes,197,SU,1961,1961
17/07/1961,1961,7,17,0.0044916,3.1443,NA,NA,Yes,198,SU,1961,1961
18/07/1961,1961,7,18,0.022907,3.0874,NA,NA,Yes,199,SU,1961,1961
19/07/1961,1961,7,19,0.0028583,2.8397,NA,NA,Yes,200,SU,1961,1961
20/07/1961,1961,7,20,0.017722,3.0301,NA,NA,Yes,201,SU,1961,1961
21/07/1961,1961,7,21,0,2.7371,NA,NA,Yes,202,SU,1961,1961
22/07/1961,1961,7,22,0,2.9132,NA,NA,Yes,203,SU,1961,1961
23/07/1961,1961,7,23,0,2.9732,NA,NA,Yes,204,SU,1961,1961
24/07/1961,1961,7,24,0.050306,3.134,NA,NA,Yes,205,SU,1961,1961
25/07/1961,1961,7,25,6.9645,3.1291,NA,NA,Yes,206,SU,1961,1961
26/07/1961,1961,7,26,1.04,2.9245,NA,NA,Yes,207,SU,1961,1961
27/07/1961,1961,7,27,3.7268,2.6716,NA,NA,Yes,208,SU,1961,1961
28/07/1961,1961,7,28,0.37628,2.5394,NA,NA,Yes,209,SU,1961,1961
29/07/1961,1961,7,29,0.043977,3.051,NA,NA,Yes,210,SU,1961,1961
30/07/1961,1961,7,30,0.60723,2.8999,NA,NA,Yes,211,SU,1961,1961
31/07/1961,1961,7,31,0.0032666,2.8571,NA,NA,Yes,212,SU,1961,1961
01/08/1961,1961,8,1,0.20559,2.63,NA,NA,Yes,213,SU,1961,1961
02/08/1961,1961,8,2,2.7922,2.7233,NA,NA,Yes,214,SU,1961,1961
03/08/1961,1961,8,3,13.882,2.6952,NA,NA,Yes,215,SU,1961,1961
04/08/1961,1961,8,4,0.29253,3.0266,NA,NA,Yes,216,SU,1961,1961
05/08/1961,1961,8,5,2.1739,2.6779,NA,NA,Yes,217,SU,1961,1961
06/08/1961,1961,8,6,3.4444,2.6774,NA,NA,Yes,218,SU,1961,1961
07/08/1961,1961,8,7,10.083,2.4964,NA,NA,Yes,219,SU,1961,1961
08/08/1961,1961,8,8,2.7529,2.6638,NA,NA,Yes,220,SU,1961,1961
09/08/1961,1961,8,9,3.045,2.6239,NA,NA,Yes,221,SU,1961,1961
10/08/1961,1961,8,10,2.8341,2.44,NA,NA,Yes,222,SU,1961,1961
11/08/1961,1961,8,11,2.5157,2.39,NA,NA,Yes,223,SU,1961,1961
12/08/1961,1961,8,12,3.5833,2.2979,NA,NA,Yes,224,SU,1961,1961
13/08/1961,1961,8,13,0.45431,2.6291,NA,NA,Yes,225,SU,1961,1961
14/08/1961,1961,8,14,1.3492,2.6585,NA,NA,Yes,226,SU,1961,1961
15/08/1961,1961,8,15,0.4225,2.6718,NA,NA,Yes,227,SU,1961,1961
16/08/1961,1961,8,16,0.12601,2.6849,NA,NA,Yes,228,SU,1961,1961
17/08/1961,1961,8,17,0.60825,2.7939,NA,NA,Yes,229,SU,1961,1961
18/08/1961,1961,8,18,2.1672,2.5605,NA,NA,Yes,230,SU,1961,1961
19/08/1961,1961,8,19,0.28893,2.4213,NA,NA,Yes,231,SU,1961,1961
20/08/1961,1961,8,20,11.979,2.5945,NA,NA,Yes,232,SU,1961,1961
21/08/1961,1961,8,21,1.6284,2.5448,NA,NA,Yes,233,SU,1961,1961
22/08/1961,1961,8,22,1.1362,2.428,NA,NA,Yes,234,SU,1961,1961
23/08/1961,1961,8,23,4.4332,2.5669,NA,NA,Yes,235,SU,1961,1961
24/08/1961,1961,8,24,1.6133,2.0646,NA,NA,Yes,236,SU,1961,1961
25/08/1961,1961,8,25,2.7162,2.5291,NA,NA,Yes,237,SU,1961,1961
26/08/1961,1961,8,26,1.1365,2.3284,NA,NA,Yes,238,SU,1961,1961
27/08/1961,1961,8,27,0.097999,2.5256,NA,NA,Yes,239,SU,1961,1961
28/08/1961,1961,8,28,0,2.757,NA,NA,Yes,240,SU,1961,1961
29/08/1961,1961,8,29,0,2.8,NA,NA,Yes,241,SU,1961,1961
30/08/1961,1961,8,30,0,2.273,NA,NA,Yes,242,SU,1961,1961
31/08/1961,1961,8,31,0.030747,2.2224,NA,NA,Yes,243,SU,1961,1961
01/09/1961,1961,9,1,0.47072,2.5291,NA,NA,Yes,244,A,1961,1961
02/09/1961,1961,9,2,0.18542,2.4609,NA,NA,Yes,245,A,1961,1961
03/09/1961,1961,9,3,0.23303,2.2177,NA,NA,Yes,246,A,1961,1961
04/09/1961,1961,9,4,0.27146,2.3315,NA,NA,Yes,247,A,1961,1961
05/09/1961,1961,9,5,0.91858,1.8962,NA,NA,Yes,248,A,1961,1961
06/09/1961,1961,9,6,3.4193,1.857,NA,NA,Yes,249,A,1961,1961
07/09/1961,1961,9,7,0.024949,1.7184,NA,NA,Yes,250,A,1961,1961
08/09/1961,1961,9,8,0.0086566,1.8005,NA,NA,Yes,251,A,1961,1961
09/09/1961,1961,9,9,6.2462,1.9357,NA,NA,Yes,252,A,1961,1961
10/09/1961,1961,9,10,3.0844,2.2764,NA,NA,Yes,253,A,1961,1961
11/09/1961,1961,9,11,2.9699,1.8807,NA,NA,Yes,254,A,1961,1961
12/09/1961,1961,9,12,4.5763,1.8815,NA,NA,Yes,255,A,1961,1961
13/09/1961,1961,9,13,1.9434,1.9502,NA,NA,Yes,256,A,1961,1961
14/09/1961,1961,9,14,6.7862,1.8793,NA,NA,Yes,257,A,1961,1961
15/09/1961,1961,9,15,11.605,1.9318,NA,NA,Yes,258,A,1961,1961
16/09/1961,1961,9,16,0.11584,1.8755,NA,NA,Yes,259,A,1961,1961
17/09/1961,1961,9,17,0.036341,1.7729,NA,NA,Yes,260,A,1961,1961
18/09/1961,1961,9,18,0.91262,1.5154,NA,NA,Yes,261,A,1961,1961
19/09/1961,1961,9,19,0.21935,1.8865,NA,NA,Yes,262,A,1961,1961
20/09/1961,1961,9,20,7.5351,1.6982,NA,NA,Yes,263,A,1961,1961
21/09/1961,1961,9,21,0.34969,1.7348,NA,NA,Yes,264,A,1961,1961
22/09/1961,1961,9,22,1.7294,1.5303,NA,NA,Yes,265,A,1961,1961
23/09/1961,1961,9,23,4.1295,1.7669,NA,NA,Yes,266,A,1961,1961
24/09/1961,1961,9,24,0.12875,1.3238,NA,NA,Yes,267,A,1961,1961
25/09/1961,1961,9,25,0.49273,1.2943,NA,NA,Yes,268,A,1961,1961
26/09/1961,1961,9,26,4.3298,1.5347,NA,NA,Yes,269,A,1961,1961
27/09/1961,1961,9,27,16.601,1.2573,NA,NA,Yes,270,A,1961,1961
28/09/1961,1961,9,28,6.9215,1.3085,NA,NA,Yes,271,A,1961,1961
29/09/1961,1961,9,29,4.3626,1.2483,NA,NA,Yes,272,A,1961,1961
30/09/1961,1961,9,30,2.4871,1.1758,NA,NA,Yes,273,A,1961,1961
01/10/1961,1961,10,1,1.2679,1.3113,NA,NA,Yes,274,A,1961,1962
02/10/1961,1961,10,2,4.6708,1.3843,NA,NA,Yes,275,A,1961,1962
03/10/1961,1961,10,3,3.5656,1.3279,NA,NA,Yes,276,A,1961,1962
04/10/1961,1961,10,4,1.1765,0.97547,NA,NA,Yes,277,A,1961,1962
05/10/1961,1961,10,5,2.5492,1.0664,NA,NA,Yes,278,A,1961,1962
06/10/1961,1961,10,6,4.2106,1.1859,NA,NA,Yes,279,A,1961,1962
07/10/1961,1961,10,7,0.66982,0.88823,NA,NA,Yes,280,A,1961,1962
08/10/1961,1961,10,8,1.676,1.0402,NA,NA,Yes,281,A,1961,1962
09/10/1961,1961,10,9,6.1812,1.0907,NA,NA,Yes,282,A,1961,1962
10/10/1961,1961,10,10,2.0566,1.1071,NA,NA,Yes,283,A,1961,1962
11/10/1961,1961,10,11,0.19661,0.9993,NA,NA,Yes,284,A,1961,1962
12/10/1961,1961,10,12,0.042466,0.98849,NA,NA,Yes,285,A,1961,1962
13/10/1961,1961,10,13,0.065251,1.0015,NA,NA,Yes,286,A,1961,1962
14/10/1961,1961,10,14,0.14904,0.88787,NA,NA,Yes,287,A,1961,1962
15/10/1961,1961,10,15,0.44202,0.92201,NA,NA,Yes,288,A,1961,1962
16/10/1961,1961,10,16,2.3544,0.82043,NA,NA,Yes,289,A,1961,1962
17/10/1961,1961,10,17,0.98416,0.8658,NA,NA,Yes,290,A,1961,1962
18/10/1961,1961,10,18,0.020866,0.79395,NA,NA,Yes,291,A,1961,1962
19/10/1961,1961,10,19,1.2192,0.71284,NA,NA,Yes,292,A,1961,1962
20/10/1961,1961,10,20,0.65059,0.61655,NA,NA,Yes,293,A,1961,1962
21/10/1961,1961,10,21,3.6949,0.72664,NA,NA,Yes,294,A,1961,1962
22/10/1961,1961,10,22,14.05,0.73963,NA,NA,Yes,295,A,1961,1962
23/10/1961,1961,10,23,11.424,0.69906,NA,NA,Yes,296,A,1961,1962
24/10/1961,1961,10,24,5.786,0.67017,NA,NA,Yes,297,A,1961,1962
25/10/1961,1961,10,25,1.7757,0.56589,NA,NA,Yes,298,A,1961,1962
26/10/1961,1961,10,26,0.77334,0.66164,NA,NA,Yes,299,A,1961,1962
27/10/1961,1961,10,27,0.39506,0.60267,NA,NA,Yes,300,A,1961,1962
28/10/1961,1961,10,28,0.51229,0.55587,NA,NA,Yes,301,A,1961,1962
29/10/1961,1961,10,29,0.33928,0.47473,NA,NA,Yes,302,A,1961,1962
30/10/1961,1961,10,30,2.5067,0.57362,NA,NA,Yes,303,A,1961,1962
31/10/1961,1961,10,31,1.0269,0.69185,NA,NA,Yes,304,A,1961,1962
01/11/1961,1961,11,1,2.5363,0.66257,NA,NA,Yes,305,A,1961,1962
02/11/1961,1961,11,2,0.66558,0.58876,NA,NA,Yes,306,A,1961,1962
03/11/1961,1961,11,3,0.11213,0.41301,NA,NA,Yes,307,A,1961,1962
04/11/1961,1961,11,4,0.14867,0.42222,NA,NA,Yes,308,A,1961,1962
05/11/1961,1961,11,5,1.6491,0.50044,NA,NA,Yes,309,A,1961,1962
06/11/1961,1961,11,6,0.41074,0.4914,NA,NA,Yes,310,A,1961,1962
07/11/1961,1961,11,7,5.3217,0.51689,NA,NA,Yes,311,A,1961,1962
08/11/1961,1961,11,8,0.029604,0.39644,NA,NA,Yes,312,A,1961,1962
09/11/1961,1961,11,9,0.22474,0.33363,NA,NA,Yes,313,A,1961,1962
